wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.6823669,.3073286,.1207532,.4696522,.1608748,.2620179,.0345605,.9157101,-1.101638,-.8297046,-.5420225,-.1520616,1.359788,.2037875,.2591392,.2717558,.1794655,.5451737,.5201169,.188169,.3395468,.0113034,26,.0013615,.0352679,.0923745
2,1,2,.0070652,.4270974,.4801147,.0899354,.6447343,.1278557,.318126,.061666,.8882199,-.8297046,-.5420225,-.1853476,.0113627,1.61626,.0841766,.1453014,.0134543,.1993978,.0531742,-.001139,-.0427914,.4744326,.019286,26,.002323,.0328037,.08592
3,1,3,0,.2657441,.6377076,.08779,.701453,.1038698,.2932745,.0819703,.8491822,-.6373327,-.2055503,-.031197,.1511246,1.892138,-.0099442,-.024406,-.0315839,-.005735,-.0497133,-.1140392,.0777756,.6256915,.0185197,26,.0022307,.0190266,.0498348
4,1,4,.0039293,.2408393,.6505809,.0708743,.7321794,.1112887,.344672,.058053,.8551139,-.8297046,-.318879,-.1365575,.1511246,1.916654,.1824177,.0556815,.0780515,.02086,.0475235,.1099158,.052667,.4018761,.1425698,26,.0171724,.0054465,.0142657
5,2,1,0,.7087734,.4854241,.142158,.6076267,.1433729,.5233178,.1392011,.8128136,-.7243441,-.2543405,-.031197,.1511246,1.624864,.1034756,.1888685,.1173951,-.1638278,-.1818701,.2617116,.1964563,.2419037,.0253209,26,.0030499,.0333995,.0874807
6,2,2,.0021503,.3136817,.5836084,.118633,.6879126,.2214832,.351214,.0716253,.8418007,-.7243441,-.2543405,-.031197,.1511246,1.792495,.0739307,-.0113144,.0599557,-.0453248,.1351513,.0093322,-.1127389,.2986026,.0239479,26,.0028845,.0287425,.0752828
7,2,3,.0079355,.2904797,.6434116,.0638387,.7109998,.0730287,.3629032,.0600763,.8535116,-.3878719,-.2366409,.061972,.2381359,1.902962,.1472026,.0811897,.2085812,-.0834411,.0966494,.4467095,.224382,.5133843,.0195095,26,.0023499,.0176664,.0462722
8,2,4,.0060397,.2016705,.7247362,.058777,.7905454,.1012298,.4428746,.0480528,.8783725,-.4550112,-.318879,-.031197,.187135,2.064187,.0170119,-.0927951,-.0345214,-.0586722,-.0468882,-.2253103,-.0103858,.3805436,.0852864,26,.0102727,.006401,.0167656
9,3,1,0,.4065925,.579196,.0456829,.8092656,.0742269,.6093439,.026125,.9462485,-1.23517,-.318879,-.1853476,.1919466,1.784603,.2726904,.0337615,.0586749,.0299229,.0501649,.1594128,.1503199,.3699059,.0309087,26,.0037229,.0358959,.0940192
10,3,2,0,.2019041,.8090562,.0531217,.8745064,.1206338,.6376767,.0360424,.93442,-.4006517,.0333417,.187135,.4388067,2.245787,.1213195,.0756129,.0718928,.0994429,.0731739,.0064308,.0583434,.3418492,.1292228,26,.0155648,.0224829,.0588876
11,3,3,.0018544,.1315713,1.00051,.0542188,.8859838,.1239674,.624898,.0436516,.9255397,-.7243441,-.072019,.1971097,.4102785,2.719668,.0106791,.041455,.0376656,.0672554,.0076428,-.0565469,.0955612,.4040533,.134172,26,.0161609,.0124829,.0326956
12,3,4,.0017154,.1222827,1.152757,.0481579,.8776138,.1219786,.6147426,.0378733,.9142367,-.4084912,-.031197,.1511246,.4388067,3.166913,.1633619,.0699685,.0705317,.0539346,.0447458,.1325856,.1063269,.3090031,.3599527,26,.043356,.0051956,.0136084
1,1,1,0,.7824506,.2732765,.1143973,.2856242,.0888542,.1862148,.206267,.6431655,-1.121841,-.9193168,-.5420225,-.2318677,1.314264,.424859,.4194519,.1981061,1.686893,.376127,.0361457,.0041168,.0657772,.0129586,29,.0013653,.0314597,.0823998
2,1,2,0,.4466091,.4815523,.084871,.6011575,.1256892,.1999925,.051929,.9249141,-.7243441,-.2055503,-.072019,.1511246,1.618585,.187214,.0361085,.1260251,-.0803035,.0664179,.0657665,.0711523,.230403,.0156233,29,.0016461,.0292615,.0766424
3,1,3,0,.3022628,.6246508,.1592785,.6798239,.2013782,.2663117,.1410408,.8589592,-.4141892,-.1365575,-.1365575,.1919466,1.867594,.1177793,.2994102,.3779425,.2663334,.3647436,.3168559,.3695497,.334673,.0136156,29,.0014346,.0169721,.0444536
4,1,4,.0009462,.2205891,.7530334,.0772578,.7996923,.1444428,.370463,.058243,.921173,-1.012026,-.1365575,.1511246,.3742682,2.123431,.1464458,.07305,.1267012,-.087699,-.0622203,.1041389,.1588622,.1279912,.0997262,29,.0105073,.0048584,.0127252
5,2,1,.0134726,.6842168,.6104578,.1026355,.6661911,.1004233,.565744,.1074288,.8838329,-.1365575,-.031197,.1511246,.1903453,1.841274,.1444406,.1397047,.0468868,.3161569,.1437491,.0842592,.0289534,.0818806,.0208067,29,.0021922,.029793,.0780345
6,2,2,.0043667,.2943677,.6092602,.109496,.6862739,.1911996,.3621365,.0754118,.8214938,-.5420225,-.1365575,.0821318,.3334461,1.83907,.1363656,-.0466399,-.0250306,-.0814136,-.0460532,-.0306347,-.126621,.1575674,.024603,29,.0025922,.0256388,.0671538
7,2,3,0,.1671742,.6852724,.123763,.8023492,.2315159,.4830437,.1021336,.8664438,-.4907293,-.031197,.0865861,.4102785,1.984312,-.1457564,-.2148148,-.1851694,-.1366641,-.0954624,-.2952446,-.1889577,.0795967,.0188721,29,.0019884,.0157588,.0412757
8,2,4,0,.1705098,.8187592,.1036075,.7649933,.198354,.4155289,.0841314,.8368291,-.7243441,.1511246,.1919466,.4102785,2.267684,.2105688,.090748,.1323656,.1207762,.1086718,-.0383574,.1731591,.2949713,.0924986,29,.0097458,.0057098,.0149552
9,3,1,0,.3602159,.6434566,.099168,.7197422,.1312318,.5001873,.0811153,.8433576,-.9350651,-.318879,-.077717,.1839145,1.903048,-.0498352,.2981818,.2736405,.0914215,.1605186,.3664723,.2259107,.1500662,.018288,29,.0019268,.0320198,.083867
10,3,2,0,.2417891,.8424637,.0688364,.8578119,.1177353,.7092872,.0532427,.9051756,-.2796583,.2564851,.4102785,.5565897,2.322081,.0476147,-.0722314,-.1200667,-.0127929,-.0779244,-.1560057,-.2027867,.2574891,.109509,29,.011538,.0200552,.0525289
11,3,3,0,.1463831,1.059578,.0658274,.882059,.1098168,.7172866,.0582839,.910315,-.318879,.0865861,.3742682,.49729,2.885154,-.0066551,.0961004,.1626585,-.0205472,.0237978,.2801097,.3602051,.2708557,.1317759,29,.0138841,.011135,.0291651
12,3,4,.0001858,.100632,1.253271,.0525146,.8898703,.122399,.5879868,.0446951,.9236486,-.4084912,.1511246,.3742682,.4388067,3.501779,.1290837,.1130259,.2165048,.124004,.1978726,.0490316,.192795,.244464,.4417229,29,.0465405,.0046346,.0121389
1,1,1,.0165127,.5076888,.5509342,.0770111,.6429071,.1215464,.3520336,.0310848,.9428662,-.9474877,-.5420225,-.100547,.2644533,1.734873,-.0387581,.1488685,-.0450864,.3212005,-.046067,.1042962,-.0082172,.333818,.0108608,31,.0023307,.0288535,.0755736
2,1,2,0,.1944344,.7383176,.0815276,.7505025,.1052909,.3389873,.075792,.8498274,-.6373327,.3694566,.4102785,.49729,2.092412,-.0671192,.0685147,.0389099,.1156474,.0821396,.0672441,.0419316,.914459,.0139255,31,.0029883,.0268374,.0702931
3,1,3,.002292,.2050335,.7943037,.0670577,.7654263,.0875337,.3219751,.0617766,.8797989,-.031197,.1919466,.3742682,.4612795,2.2129,.0379131,.3330922,.1499281,.2542748,.1039102,.4876259,.1729822,.5442536,.0133878,31,.002873,.0155661,.040771
4,1,4,.0029762,.1720166,.8785977,.0660119,.7943811,.1105793,.3629273,.0567529,.8840173,-.2543405,.1511246,.3742682,.49729,2.407521,.0135529,.0088195,.0256439,.0311757,.0275482,-.055855,.027349,.5092468,.1554564,31,.0333603,.0044559,.0116711
5,2,1,.0132342,.3478625,.6369996,.0633646,.7597572,.0943994,.4678881,.04681,.9154457,-.318879,.1511246,.2689076,.4388067,1.890799,.0201599,.0893299,.0957175,.0896826,.0721502,.0694548,.1115155,.5281633,.0430668,31,.009242,.0273249,.0715699
6,2,2,.0013765,.2220945,.7510745,.0805877,.7671755,.1381169,.4332935,.064163,.8625,-.2543405,.2564851,.3742682,.49729,2.119276,.1464158,.0673301,.1434251,.0884044,.1302436,.0408523,.1522392,.5424322,.035898,31,.0077036,.0235148,.0615906
7,2,3,.0007264,.1347753,.8916423,.0820551,.7956978,.1106069,.3486972,.0776077,.8653267,-.031197,.3694566,.4102785,.5926002,2.439132,-.063253,-.0803765,-.0385849,-.0742645,-.018595,-.0697838,-.0507924,.587145,.0280839,31,.0060267,.0144533,.0378563
8,2,4,.0018185,.1330223,1.007131,.0733022,.824147,.1238192,.4623395,.0655513,.8796599,-.031197,.3334461,.4102785,.5565897,2.737736,.0519718,.0611816,.0751976,.0830374,.0745402,-.0266083,.0758544,.4569431,.1008298,31,.0216376,.0052368,.0137163
9,3,1,.0020995,.2199981,.74406,.0579701,.84263,.1138931,.628167,.0421971,.9031188,-.2543405,-.031197,.2644533,.4612795,2.104462,.0032876,-.0458153,.0011004,.0876506,.0999626,-.2251947,-.1336776,.3640967,.0336756,31,.0072266,.0293672,.0769192
10,3,2,.0017975,.1732679,.9929228,.0630306,.8508639,.102713,.6540117,.0547139,.8921205,-.100547,.402439,.49729,.6154302,2.699112,.0220863,-.0115231,.068603,.0163365,.0653418,-.1210604,.0785593,.4476656,.1326595,31,.0284681,.0183937,.0481773
11,3,3,.0019852,.1220297,1.217533,.0548856,.8738698,.0980851,.5925835,.0488813,.912966,-.318879,.4388067,.5926002,.6619502,3.378843,.0194103,.0609868,.0887689,.0516524,.0850709,.0936148,.0889706,.402037,.1231249,31,.0264221,.0102126,.026749
12,3,4,.0006892,.1033427,1.453762,.0544735,.8715364,.0887015,.6134344,.0505286,.9012834,.1511246,.4388067,.5565897,.7489617,4.279181,.0935584,.0466587,.0700664,.0102229,.0340974,.1202292,.1249555,.3451538,.309031,31,.0663167,.0042506,.0111333
