wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.7252267,.283988,.1081497,.4352065,.1211208,.2732102,.0739142,.8627736,-1.129809,-.8297046,-.5575268,-.1757781,1.328417,.2114233,.2662852,.1803325,.2218116,.2731007,.3676606,.1310045,.3541538,.0126603,26,.0015084,.0342008,.0895592
2,1,2,.0112947,.4467761,.4745672,.104624,.6251587,.1296095,.3349868,.0844461,.8594976,-1.012026,-.5420225,-.1853476,-.0030261,1.607318,.150097,.0727465,.0899745,.1100302,.0832946,-.0518538,.0453479,.4616904,.0187476,26,.0022336,.0333608,.0873596
3,1,3,.0075895,.2569913,.6165408,.0769183,.7252482,.087499,.3639372,.0732586,.8502181,-1.23517,-.3597011,-.072019,.1511246,1.852509,.0439315,.0053301,-.0171139,-.0093005,-.0214559,.0483464,-.0312431,.2752317,.0194923,26,.0023223,.0159231,.0416967
4,1,4,.0032017,.2320378,.6459472,.0691281,.7355959,.1038917,.358727,.0586244,.8494658,-.8297046,-.4084912,-.1647283,.1511246,1.907793,.1322549,.012708,.0450747,.0063068,.0270074,.0129958,.0341889,.4164105,.1429543,26,.0170317,.005914,.0154865
5,2,1,0,.7026681,.4600329,.1154868,.5735095,.1217049,.458014,.100792,.8464534,-.9474877,-.5012006,-.2543405,.0457641,1.584126,.2195535,.2305339,.1587951,-.2750114,-.1943194,.3289839,.1501112,.3354596,.0245758,26,.002928,.0299201,.0783497
6,2,2,.0042898,.3214294,.5623199,.087267,.7285948,.1566095,.435656,.0544204,.8673558,-1.112567,-.2543405,-.072019,.1511246,1.754739,.2130629,-.0019306,.0914248,-.0789,.1295162,.0427581,-.0131658,.3405222,.0246406,26,.0029357,.0294921,.0772287
7,2,3,.0069986,.2440167,.6682314,.0511807,.7646073,.0532222,.4419275,.0505217,.868762,-.318879,-.1365575,.1511246,.3694566,1.950784,.1021761,.0196121,.1068618,-.1153414,.0117306,.475893,.2093197,.4669225,.0216293,26,.0025769,.0168526,.0441308
8,2,4,.0043262,.1912427,.7422148,.0669887,.7897106,.133695,.4198017,.051215,.8771811,-.7651661,-.318879,-.031197,.187135,2.100583,-.0126685,-.0375171,-.0138435,-.0504091,-.0228822,-.0172904,.0055833,.4331487,.0868087,26,.0103424,.0066139,.0173193
9,3,1,0,.3941563,.6019385,.0573391,.8104823,.0892408,.6415511,.0365842,.9203873,-1.417491,-.4774841,-.1563601,.1511246,1.825654,.1238154,.0593227,.1030184,-.0733767,.0501709,.2169879,.2142642,.3655128,.0315697,26,.0037612,.0366744,.0960366
10,3,2,.0004356,.2193988,.8042058,.057212,.8519529,.1143261,.6169864,.0411593,.9179935,-.7243441,-.1365575,.1511246,.4102785,2.234921,.0993873,.0426207,.0601691,.0272862,.0298664,.0255693,.0647837,.3327113,.1248543,26,.0148752,.0197614,.0517479
11,3,3,.0021747,.1375301,.9845909,.0472118,.8870287,.096229,.6296973,.0393955,.928063,-.5420225,-.1365575,.1511246,.4102785,2.676717,.0592428,.0283149,.0455211,.0654616,.0563137,-.0700552,.0105833,.3907656,.1310711,26,.0156159,.0121401,.0317904
12,3,4,.0012254,.1234422,1.141683,.0494836,.8736179,.1190737,.5785261,.0396835,.9151745,-.5420225,-.031197,.1511246,.4102785,3.132036,.0715532,.0588769,.0778326,.0672358,.0800529,.0338285,.0511702,.2940064,.360996,26,.0430093,.0051254,.0134215
1,1,1,.0194979,.8029866,.2937045,.150509,.3132743,.1317347,.227516,.227029,.6628077,-1.012026,-.7651661,-.5420225,-.2055503,1.341388,.3067349,.1214135,.1915442,.8327155,.4172691,.0271273,.0883945,.1393085,.0133791,29,.0014119,.0305616,.0800294
2,1,2,0,.3867803,.5447994,.1148166,.6240935,.1701421,.2154115,.0799207,.8818642,-.7243441,-.318879,-.1365575,.1511246,1.724263,.129437,-.0086476,.0149516,.0363322,.0740638,-.0146697,-.0596539,.1844558,.0153531,29,.0016202,.029811,.0780639
