
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"

="educ_8p",="0.148***",="0.0272",="-0.0164",="-0.0575",="0.0778*",="-0.0224",="-0.0225"
="",="(0.0249)",="(0.0497)",="(0.0431)",="(0.0530)",="(0.0455)",="(0.0430)",="(0.0432)"

="Pop_Age_Controls",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Av_Earnings_Control",="No",="No",="No",="No",="No",="Yes",="No"
="Microregion_FE",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Time_FE",="Yes",="Yes",="Yes",="No",="Yes",="Yes",="Yes"
="State_Time_FE",="No",="No",="No",="Yes",="No",="No",="No"
="Sectoral_Shares",="No",="No",="No",="No",="Yes",="No",="No"
="Ini_Formality_Time",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes"
="Other_ini_Time",="No",="No",="No",="No",="No",="No",="Yes"
="N",="1527",="1527",="1527",="1527",="1527",="1527",="1527"
="r2",="0.992",="0.998",="0.998",="0.999",="0.998",="0.998",="0.999"

