
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"

="educ_8p",="0.278***",="0.101*",="0.0483",="-0.00307",="0.145***",="0.0419",="0.0559"
="",="(0.0272)",="(0.0531)",="(0.0456)",="(0.0561)",="(0.0490)",="(0.0453)",="(0.0460)"

="Pop_Age_Controls",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Av_Earnings_Control",="No",="No",="No",="No",="No",="Yes",="No"
="Microregion_FE",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Time_FE",="Yes",="Yes",="Yes",="No",="Yes",="Yes",="Yes"
="State_Time_FE",="No",="No",="No",="Yes",="No",="No",="No"
="Sectoral_Shares",="No",="No",="No",="No",="Yes",="No",="No"
="Ini_Formality_Time",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes"
="Other_ini_Time",="No",="No",="No",="No",="No",="No",="Yes"
="N",="1527",="1527",="1527",="1527",="1527",="1527",="1527"
="r2",="0.982",="0.995",="0.996",="0.997",="0.997",="0.996",="0.997"

