
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"

="educ_8p",="0.953***",="0.213**",="0.319***",="0.211**",="0.290***",="0.310***",="0.228**"
="",="(0.0597)",="(0.0975)",="(0.0921)",="(0.0931)",="(0.0793)",="(0.0906)",="(0.0931)"

="Pop_Age_Controls",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Av_Earnings_Control",="No",="No",="No",="No",="No",="Yes",="No"
="Microregion_FE",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Time_FE",="Yes",="Yes",="Yes",="No",="Yes",="Yes",="Yes"
="State_Time_FE",="No",="No",="No",="Yes",="No",="No",="No"
="Sectoral_Shares",="No",="No",="No",="No",="Yes",="No",="No"
="Ini_Formality_Time",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes"
="Other_ini_Time",="No",="No",="No",="No",="No",="No",="Yes"
="N",="1527",="1527",="1527",="1527",="1527",="1527",="1527"
="r2",="0.963",="0.993",="0.994",="0.996",="0.996",="0.994",="0.995"

