
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"

="educ_8p",="1.149***",="0.321***",="0.417***",="0.311***",="0.375***",="0.407***",="0.363***"
="",="(0.0607)",="(0.0958)",="(0.0910)",="(0.0939)",="(0.0791)",="(0.0892)",="(0.0917)"

="Pop_Age_Controls",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Av_Earnings_Control",="No",="No",="No",="No",="No",="Yes",="No"
="Microregion_FE",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Time_FE",="Yes",="Yes",="Yes",="No",="Yes",="Yes",="Yes"
="State_Time_FE",="No",="No",="No",="Yes",="No",="No",="No"
="Sectoral_Shares",="No",="No",="No",="No",="Yes",="No",="No"
="Ini_Formality_Time",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes"
="Other_ini_Time",="No",="No",="No",="No",="No",="No",="Yes"
="N",="1527",="1527",="1527",="1527",="1527",="1527",="1527"
="r2",="0.919",="0.985",="0.988",="0.992",="0.991",="0.988",="0.990"

